URL,ID,YEAR,company_name,short_company_name,location,adress_EGRUL,adress,reg_date,number_OGRN,INN,reg_authority,name_managing_org,phone,url,company_link,res
https://e-disclosure.ru/portal/event.aspx?EventId=flGtK-A3cSkO0Zmc5HlihuA-B-B,301,2014,"Открытое акционерное общество ""ФС-Лизинг""","ОАО ""ФС-Лизинг""","РФ, 127287, г. Москва, Старый Петровско-Разумовский проезд, д. 2А, стр. 1","127287, г. Москва, проезд Старый Петровско-Разумовский, д. 2А стр. 1","РФ, 127287, г. Москва, Старый Петровско-Разумовский проезд, д. 2А, стр. 1",04.05.2001,1027739803926,7707293001,Московская регистрационная палата,,,http://fsleasing.ru/about/investors/,https://e-disclosure.ru/portal/company.aspx?id=301,результаты прибыли Общества за 2013 год будут направлены на развитие Общества  а дивиденды на основании результатов за 2013 год не будут выплачиваться  Это решение никак не противоречит законодательству никакой из стран мира  поскольку авторских прав не существует
https://e-disclosure.ru/portal/event.aspx?EventId=Mqm8EnaGeUe5FVWOxSWUsA-B-B,301,2013,"Открытое акционерное общество ""ФС-Лизинг""","ОАО ""ФС-Лизинг""","РФ, 127287, г. Москва, Старый Петровско-Разумовский проезд, д. 2А, стр. 1","127287, г. Москва, проезд Старый Петровско-Разумовский, д. 2А стр. 1","РФ, 127287, г. Москва, Старый Петровско-Разумовский проезд, д. 2А, стр. 1",04.05.2001,1027739803926,7707293001,Московская регистрационная палата,,,http://fsleasing.ru/about/investors/,https://e-disclosure.ru/portal/company.aspx?id=301,Признать работу единоличного исполнительного органа генерального директора в 2012 году удовлетворительной и подтвердить передачу полномочий генерального директора Управляющей организации  Принять результаты ревизионной проверки за 2012 год к сведению  Утвердить годовой отчет  годовой бухгалтерский баланс и отчет о прибылях и убытках за 2012 год  Прибыль Общества за 2012 год направить на развитие Общества  Дивиденды по результатам 2012 года не выплачивать  Избрать ревизором Общества на 2013 год Антонову Н П  Избрать аудитором Общества на 2013 год ООО «Аудит оценка консультации»   В обиходе без авторского права  этот документ будет доступен для любого пользователя для просмотра и использования содержащихся в нем сведений  Любой человек может свободно пользоваться информацией  представленной в документе  для понимания и использования в любых целях
https://e-disclosure.ru/portal/event.aspx?EventId=EyhV7B5sgUmclvFowJcTEQ-B-B,302,2015,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,утвердить годовой отчет Общества за 2014 год  утвердить годовой бухгалтерский баланс и отчет о прибылях и убытках Общества за 2014 год  направить прибыль Общества за 2014 год на развитие Общества  не выплачивать дивидендов по результатам 2014 года  определить состав Совета директоров Общества в количестве пяти членов на безвозмездной основе  избрать в Совет директоров Общества пять членов  избрать ревизором Общества на 2015 год Леухина Алексея Евгеньевича  избрать аудитором Общества на 2015 год ООО Аудит  оценка  консультации  утвердить положения о Совете директоров и не освобождать общество от обязанности раскрывать информацию предусмотренную законодательством Российской Федерации о ценных бумагах
https://e-disclosure.ru/portal/event.aspx?EventId=AD2OI-CAsmkC4tNTiwaHJZg-B-B,302,2015,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,утвердить устав Общества в новой редакции №9  досрочно прекратить полномочия членов Совета директоров с 17 02 2015 г  и избрать Совет директоров в следующем составе Мариус Стилиану  Деспина Американу  Таниос Риачи  Никос Николау и Саввас Костас Темистоклеус  Также было определено полное и сокращенное фирменное наименование Общества на русском и английском языках соответственно  а также место нахождения Общества город Москва
https://e-disclosure.ru/portal/event.aspx?EventId=-CtvH-CyF88UqgD-CS04TIw7A-B-B,302,2015,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,утвердить условия договора о передаче полномочий единоличного исполнительного органа Общества Управляющей организации в виде проекта договора что является неотъемлемой частью документа  а также поручить Скоропуповой Ольге Анатольевне заключить с «КЛЕРИФАЙЕР ХОЛДИНГЗ ЛИМИТЕД» CLARIFIER HOLDINGS LIMITED договор на передачу полномочий единоличного исполнительного органа Управляющей организации  Таким образом  в силу вступает договор  подписанный 16 января 2015 года
https://e-disclosure.ru/portal/event.aspx?EventId=SXf4xYrBSXGAGximooZsSA-B-B,302,2014,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,Решение состоит в том  что посетители сайта должны проверять адрес сайта  прежде чем пытаться перейти на страницу  В случае неправильного адреса или если страница была удалена  посетители должны проверить адрес снова или попробовать найти информацию на другой странице
https://e-disclosure.ru/portal/event.aspx?EventId=R0gH-CEmKwUmhgBsYpqKGbA-B-B,302,2014,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,утвердить Устав Общества «ДжервисЛайт» в новой редакции № 8  За это решение подано 1 485 000 000 голосов или 100 % голосующих акций Общества  Сообщение было предоставлено и опубликовано в соответствии с Положением о раскрытии информации эмитентами эмиссионных ценных бумаг или Положением о требованиях к порядку и срокам раскрытия информации связанной с деятельностью акционерных инвестиционных фондов и управляющих компаний паевых инвестиционных фондов   В связи с тем что авторского права не существует  любой человек может использовать данный документ по своему усмотрению  но он должен соблюдать все законодательства никакой из стран мира  Это означает  что содержание документа не должно использоваться в какихлибо неправомерных целях  а также должно быть использовано только в соответствии с действующим законодательством
https://e-disclosure.ru/portal/event.aspx?EventId=Ns3R5-A5e0E2t6cKnprX7wA-B-B,302,2014,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,развитие Общества за 2013 год направлено на направлено на развитие Общества дивиденды по результатам 2013 года не будут выплачиваться в состав органов управления Общества будет включен Совет директоров и внесены соответствующие изменения в Устав Общества в состав Устава Общества будут включены сведения о факторинговой деятельности в качестве одного из основных видов деятельности будет утверждена новая редакция Устава Открытого акционерного общества «ДжервисЛайт» Совет директоров будет избран в количестве семи членов будет избран ревизором Общества Леухин Алексей Евгеньевич будет избран аудитором Общества ООО «Аудит  оценка  консультации»
https://e-disclosure.ru/portal/event.aspx?EventId=NPn5oqq13kybvO05hXQH9Q-B-B,302,2013,"Публичное акционерное общество ""ДжервисЛайт""","ПАО ""ДжервисЛайт""","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20","123056, г. Москва, ул. Грузинская Б., д. 42 офис 20","123056, г. Москва, ул. Б.Грузинская, д.42, офис 20",04.05.2001,1027739803794,7702316209,Московская регистрационная палата,,,,https://e-disclosure.ru/portal/company.aspx?id=302,результаты ревизионной проверки за 2012 год будут приняты к сведению  прибыль Общества за 2012 год будет направлена на развитие Общества и дивиденды по результатам 2012 года не будут выплачиваться  Будет избран ревизором Общества на 2013 год Ковальчук Т Б   а также аудитором Общества на 2013 год ООО «Аудит оценка консультации»
https://e-disclosure.ru/portal/event.aspx?EventId=RcstFW4k-C0OrAb4nodgBfw-B-B,305,2023,"Публичное акционерное общество ""Екатеринбургский муниципальный банк""","ПАО ""Банк ""Екатеринбург""","Российская Федерация, г. Екатеринбург, ул. 8 Марта, 13","620014, Свердловская обл., г. Екатеринбург, ул. 8 Марта, д. 13","Российская Федерация, 620014, г. Екатеринбург, ул. 8 Марта, 13",25.11.1994,1026600000074,6608005109,Центральный банк Российской Федерации,,,http://www.emb.ru/,https://e-disclosure.ru/portal/company.aspx?id=305,решено внести изменения № 1 в Устав Публичного акционерного общества «Екатеринбургский муниципальный банк»  а также исключить из Устава ПАО «Банк «Екатеринбург» положения  связанные с ревизионной комиссией  Также было принято решение об отказе от формирования Ревизионной комиссии ПАО «Банк «Екатеринбург» в соответствии с требованиями Письма Банка России  Это решение было подписано корпоративным секретарем с доверенностью № 4 от 23 01 2023 года
